Team,Deployment Site,"DMS (Degrees, minutes, seconds)",DD (Decimal Degrees)
Arbor Lodge-Kenton,Arbor Lodge Park,"45°34'23.0""N 122°41'37.6""W","45.573049, -122.693768"
Argay-Parkrose,11800 NE Shaver St,"45°33'04.4""N 122°32'26.1""W","45.551210, -122.540580"
Ashcreek-Crestwood,8935 SW 2nd,"45°31'24.4""N 122°40'20.6""W","45.523451, -122.672386"
Arnold Creek,2627 SW Stephenson St,"45°26'28.0""N 122°42'14.4""W","45.441113, -122.703987"
Beaumont-Wilshire-Alamda,Wilshire Park,"45°33'11.1""N 122°37'40.6""W","45.553087, -122.627935"
Boise-Eliot-Humbolt,Unthank Park,"45°33'05.9""N 122°40'17.4""W","45.551651, -122.671503"
Buckman,320 SE 16th Ave,"45°31'13.7""N 122°38'55.2""W","45.520481, -122.648669"
Collins View,9705 SW Terwilliger Blvd,"45°27'18.7""N 122°41'02.6""W","45.455206, -122.684051"
Concordia-Vernon-Woodlawn,Alberta Park,"45°33'53.0""N 122°38'42.2""W","45.564708, -122.645062"
Creston-Kenilworth,4220 SE Rhone ST,"45°29'47.4""N 122°37'04.2""W","45.496501, -122.617845"
Cully,,,
Downtown,1126 SW Park Ave,"45°30'60.0""N 122°40'55.3""W","45.516659, -122.682021"
Grant Park,Grant Park Church,"45°32'33.5""N 122°37'45.7""W","45.542643, -122.629366"
Hayden Island,12300 N Parker Ave,"45°36'43.5""N 122°40'56.0""W","45.612070, -122.682232"
Hayhurst,6149 SW Shattuck Rd,"45°29'06.1""N 122°44'26.1""W","45.485025, -122.740569"
Hazelwood-Mill Park-Powelhurst-Gilbert,10501 SE Market St,"45°30'45.1""N 122°33'16.9""W","45.512532, -122.554683"
Hosford-Abernethy,2421 SE Orange Ave,"45°30'21.6""N 122°39'05.3""W","45.505986, -122.651482"
Irvington,1624 NE Hancock St,"45°32'11.3""N 122°38'55.3""W","45.536483, -122.648701"
King,4906 NE 6th Ave,"45°33'30.5""N 122°39'32.7""W","45.558482, -122.659088"
Laurelhurst,601 NE Cesar E Chavez Blvd,"45°31'39.1""N 122°37'23.1""W","45.527513, -122.623069"
Linnton,,,
Maplewood,7452 SW 52nd Ave,"45°28'15.8""N 122°43'47.6""W","45.471064, -122.729901"
Markham,2401 SW Taylors Ferry Rd,"45°27'32.2""N 122°42'07.7""W","45.458940, -122.702148"
Montavilla,,,
Mulnomah Village,7688 SW Capitol Hwy,"45°28'06.4""N 122°42'35.7""W","45.468440, -122.709903"
Overlook,1599 N Fremont St,"45°32'52.9""N 122°40'55.5""W","45.548034, -122.682086"
PCC Cascade,705 N Killingsworth St,"45°33'49.3""N 122°40'24.4""W","45.563691, -122.673452"
Pearl,810 NW 11th Ave,"45°31'44.8""N 122°40'53.9""W","45.529105, -122.681646"
Piedmont,700 N Rosa Parks Way,"45°34'11.6""N 122°40'26.5""W","45.569895, -122.674018"
Portsmouth,McCoy Park,"45°35'25.9""N 122°43'00.3""W","45.590513, -122.716738"
Richmond,,,
Riverdale,,,
Rose City Park,,,
Roseway,Wellington Park,"45°33'12.3""N 122°35'40.7""W","45.553416, -122.594634"
Sabin,4013 NE 18th Ave,"45°33'08.5""N 122°38'52.5""W","45.552367, -122.647908"
Sellwood-Moreland-Brooklyn-Eastmoreland,8210 SE 13th Ave,"45°27'48.9""N 122°39'09.5""W","45.463579, -122.652642"
South Burlingame,8401 SW 17th Ave,"45°27'52.1""N 122°41'44.7""W","45.464472, -122.695749"
South Portland,6318 SW Corbett Ave,"45°28'43.2""N 122°40'31.9""W","45.478674, -122.675528"
South Waterfront,Caruthers Park,"45°29'50.3""N 122°40'16.7""W","45.497309, -122.671297"
St Johns-Cathedral park,8427 N Central St,"45°35'32.9""N 122°45'08.1""W","45.592464, -122.752235"
Sunnyside,3421 SE Salmon St,"45°30'53.7""N 122°37'44.1""W","45.514912, -122.628920"
Sylvan-Highlands,1849 SW 58th Ave,"45°30'36.7""N 122°44'13.2""W","45.510204, -122.736991"
University of Portland,501 N Killingsworth St,"45°33'47.0""N 122°40'17.3""W","45.563068, -122.671457"
Westside Heights,9935 NW Durrett St,"45°32'33.6""N 122°46'39.2""W","45.542679, -122.777562"
Woodstock,Woodstock Park,"45°29'01.9""N 122°36'45.2""W","45.483850, -122.612559"